taxon	UniEuk id	author	rank	status	type	candidate	description	synonyms	alternative names	accessions	envo terms	locations	EukProt ID	reference
Eukaryota;	UniEuk#2													
Eukaryota;'AA5F14RM4H01 clade';	UniEuk#3349													
Eukaryota;'AT4-68 clade';	UniEuk#3350													
Eukaryota;'CCA32 lineage';	UniEuk#3351		genus			true								
Eukaryota;'CRuMs';	UniEuk#3													https://doi.org/10.1093/gbe/evy014
Eukaryota;'CRuMs';'CR clade';	UniEuk#6													
Eukaryota;'CRuMs';'CR clade';Collodictyonidae;	UniEuk#7	Brugerolle et al. 2002, emend. Adl et al. 2019	family						Diphyllatea;Diphylleida;Diphylleidae;Sulcomonadidae					https://doi.org/10.1078/1434-4610-00083
Eukaryota;'CRuMs';'CR clade';Collodictyonidae;Collodictyon;	UniEuk#8	Carter 1865	genus											https://doi.org/10.1080/00222936508681805
Eukaryota;'CRuMs';'CR clade';Collodictyonidae;Collodictyon;'Collo 18S clade 1';	UniEuk#3434		species			true				MF039355				
Eukaryota;'CRuMs';'CR clade';Collodictyonidae;Collodictyon;'Collo 18S clade 1';strain Arungen;	UniEuk#3435								strain Klaveness-1995;strain A85	JN618830-JN618979;JX863892;MF039367			EP00001; https://doi.org/10.6084/m9.figshare.12417881	
Eukaryota;'CRuMs';'CR clade';Collodictyonidae;Collodictyon;'Collo 18S clade 1';strain KIVT03;	UniEuk#3436									MF039366				
Eukaryota;'CRuMs';'CR clade';Collodictyonidae;Collodictyon;'Collo 18S clade 2';	UniEuk#3437		species			true								
Eukaryota;'CRuMs';'CR clade';Collodictyonidae;Collodictyon;'Collo 18S clade 2';strain KIINB;	UniEuk#3438									MF039356				
Eukaryota;'CRuMs';'CR clade';Collodictyonidae;Collodictyon;'Collo 18S clade 2';strain KIKNR01;	UniEuk#3439									MF039357				
Eukaryota;'CRuMs';'CR clade';Collodictyonidae;Collodictyon;'Collo 18S clade 2';strain KIKNR02;	UniEuk#3440									MF039361				
Eukaryota;'CRuMs';'CR clade';Collodictyonidae;Collodictyon;'Collo 18S clade 2';strain KIKNR03;	UniEuk#3441									MF039360				
Eukaryota;'CRuMs';'CR clade';Collodictyonidae;Collodictyon;'Collo 18S clade 2';strain KIVT01;	UniEuk#3442									MF039362				
Eukaryota;'CRuMs';'CR clade';Collodictyonidae;Collodictyon;'Collo 18S clade 2';strain KIVT02;	UniEuk#3443									MF039358				
Eukaryota;'CRuMs';'CR clade';Collodictyonidae;Collodictyon;'Collo 18S clade 2';strain KIVT04;	UniEuk#3444									MF039359				
