taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea	class		Stein 1859					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Climacostomum	genus		Stein 1859		Climacostomidae			single genus Climacostomum in family Climacostomidae Repak 1972
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Climacostomum;'bLPN1 lineage'	species	true						
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Climacostomum;'bLPN1 lineage';strain bLPN1						LN870010		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Climacostomum;'bLPN1 lineage';strain CY2018041901						MT175506		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Climacostomum;'bLPN1 lineage';strain CY2018110901						MT175507		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Climacostomum;Climacostomum virens	species		Ehrenberg 1833	Spirostomum virens				type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Climacostomum;Climacostomum virens;strain Bernhard-1992						X65152		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Climacostomum;Climacostomum virens;strain Fernandes-2015						KP970234		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Climacostomum;Climacostomum virens;strain StockW-24							EP00359; https://doi.org/10.6084/m9.figshare.12417881	
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Climacostomum;Climacostomum virens;strain Tue2015_Clim						MH822304		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Climacostomum;'Cvirens2 lineage'	species	true						morphologically identified as C. virens but genetically distinct
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Climacostomum;'Cvirens2 lineage';strain Miao-2008						EU583990		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Climacostomum;'Cvirens2 lineage';strain SKS072						KJ651814		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae	family		Kahl 1929 in Doflein & Reichenow 1929					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade'								18S-based group; Chattonidium, Condylostentor and Condylostoma form a well-supported clade
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Ccurvum group'	genus	true				JX268805; JX268818; JX268881; JX268883; JX268939; JX268958		candidate genus (unless it contains the type species of Condylostoma)
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Ccurvum group';Condylostoma arenarium	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Ccurvum group';Condylostoma arenarium;strain Fernandes-2011						JQ282895		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Ccurvum group';Condylostoma curvum	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Ccurvum group';Condylostoma curvum;strain CC1						KX138647		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Ccurvum group';Condylostoma curvum;strain Guo-2008						EU379939		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Ccurvum group';Condylostoma kris	species							
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Ccurvum group';Condylostoma kris;strain 1-CXR08040802						FJ998021		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Heterotrichea;Condylostomatidae;'3C clade';'Ccurvum group';Condylostoma kris;strain 2011121615						MT175513		
