taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea	class		Corliss 1974					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Wilbertomorpha	genus		Xu et al. 2013		Wilbertomorphidae			single genus Wilbertomorpha in family Wilbertomorphidae
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Wilbertomorpha;Wilbertomorpha colpoda	species		Xu et al. 2013					type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Wilbertomorpha;Wilbertomorpha colpoda;strain XY11050501						JX204736; KC461119		type strain of the species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae	family		Kahl 1933	Aveliidae				
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae;'CP clade'								18S-based group; Corlissina, Parduczia and strain MMETSP-1317 form a well-supported clade at the exclusion of Geleia
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae;'CP clade';Corlissina	genus		Campello-Nunes et al. 2015					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae;'CP clade';Corlissina;Corlissina maricaensis	species		Campello-Nunes et al. 2015					type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae;'CP clade';Corlissina;Corlissina maricaensis;strain Fernandes-2015						KP970249; KP970250		type strain of the species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae;'CP clade';Parduczia	genus		Dragesco 1999					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae;'CP clade';Parduczia;Parduczia orbis	species		Fauré-Fremiet 1950	Geleia orbis				type species of the genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae;'CP clade';Parduczia;Parduczia orbis;strain WH						AY187924		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae;'CP clade';'MMETSP-1317 lineage'	genus	true				JF327426		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae;'CP clade';'MMETSP-1317 lineage';strain MMETSP-1317							EP00362; https://doi.org/10.6084/m9.figshare.12417881	
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae;Geleia	genus		Kahl in Foissner 1998			AJ971535		
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae;Geleia;Geleia acuta	species		(Dragesco 1960) Foissner 1998					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Postciliodesmatophora;Karyorelictea;Geleiidae;Geleia;Geleia acuta;strain XY2010100902						KJ768666		
