taxon	taxon rank	candidate	taxon author	synonyms	alternative names	sequence accs	EukProt ID	notes
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans'								phylogenomics-based group; phylogenomic data are still missing for Discotrichidae and Synhymeniida to test further the relationship between Colpodea, nassophoreans, and Phyllopharyngea
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida	order		Jankowski 1967					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae	family		Wrzesniowski 1870					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;Drepanomonas	genus		Fresenius 1858	Drepanoceras; Pseudocristigera				no 18S data yet for this genus
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;Drepanomonas;Drepanomonas dentata	species		Fresenius 1858					type species of the genus; no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;Drepanomonas;Drepanomonas exigua	species		Penard 1922					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;Drepanomonas;Drepanomonas hymenofera	species		(Horváth 1956) Omar & Foissner 2013	Pseudocristigera hymenofera				no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;Drepanomonas;Drepanomonas pauciciliata	species		Foissner 1987					no genetic data yet for this species
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;Drepanomonas;Drepanomonas revoluta	species		Penard 1922					
Eukaryota;Diaphoretickes;Sar;Alveolata;Ciliophora;Intramacronucleata;'CON3P';'nassophoreans';Microthoracida;Microthoracidae;Drepanomonas;Drepanomonas revoluta;strain NAS-Drepan-revo-01						FJ905156		
